no.,Mo lID,Molecule,AL1,AL2,AL3,AL4,AL5,AL6,AL7,AL8
196,PCB 196.HIN,"2,3,4,5,2’,3’,4’,6’-octachloro-1,1’-biphenyl",64,152,278,74.3742,6.2555,46.2167,36.4098,6.0937
197,PCB 197.HIN,"2,3,4,6,2’,3’,4’,6’-octachloro-1,1’-biphenyl",64,152,280,74.1795,6.3256,46.5,36.219,6.1587
198,PCB 198.HIN,"2,3,4,5,6,2’,3’,5’-octachloro-1,1’-biphenyl",64,152,280,74.2246,6.3521,46.8,36.267,6.1644
199,PCB 199.HIN,"2,3,4,5,6,2’,3’,6’-octachloro-1,1’-biphenyl",64,154,289,75.2732,6.2412,46.4167,36.8143,6.0746
200,PCB 200.HIN,"2,3,4,6,2’,3’,5’,6’-octachloro-1,1’-biphenyl",64,152,280,74.4947,6.2626,45.9667,36.5241,6.1072
201,PCB 201.HIN,"2,3,4,5,2’,3’,5’,6’-octachloro-1,1’-biphenyl",64,152,280,74.4947,6.2626,45.9667,36.5241,6.1072
202,PCB 202.HIN,"2,3,5,6,2’,3’,5’,6’-octachloro-1,1’-biphenyl",64,152,284,74.4204,6.3398,46,36.4476,6.1857
203,PCB 203.HIN,"2,3,4,5,6,2’,4’,5’-octachloro-1,1’-biphenyl",64,152,280,74.5032,6.2645,45.9333,36.534,6.1112
204,PCB 204.HIN,"2,3,4,5,6,2’,4’,6’-octachloro-1,1’-biphenyl",64,152,280,73.9094,6.415,47.3333,35.9619,6.2159
205,PCB 205.HIN,"2,3,4,5,6,3’,4’,5’-octachloro-1,1’-biphenyl",64,152,276,74.4229,6.2049,46.1667,36.4571,6.0429
206,PCB 206.HIN,"2,3,4,5,6,2’,3’,4’,5’-nonachloro-1,1’-biphenyl",68,164,308,80.2246,6.3521,48.8,39.267,6.1644
207,PCB 207.HIN,"2,3,4,5,6,2’,3’,4’,6’-nonachloro-1,1’-biphenyl",68,164,310,80.0299,6.4221,49.0833,39.0762,6.2294
208,PCB 208.HIN,"2,3,4,5,6,2’,3’,5’,6’-nonachloro-1,1’-biphenyl",68,164,312,80.1503,6.4292,48.8333,39.1905,6.2429
209,PCB 209.HIN,"2,3,4,5,6,2’,3’,4’,5’,6’-decachloro-1,1’-biphenyl",72,176,340,85.8802,6.5187,51.6667,41.9333,6.3
55,PCB  055.HIN,"2,3,4,3’-tetrachloro-1,1’- biphenyl",48,110,181,54.0287,5.6431,36.7,26.548,5.5325
